,end_station_name,rideable_type,season,Total,Grand Total
90,Central Park S & 6 Ave,Classic Bike,Summer,22480,87226
91,Central Park S & 6 Ave,Classic Bike,Winter,4659,87226
92,Central Park S & 6 Ave,Electric Bike,Fall,7951,87226
93,Central Park S & 6 Ave,Electric Bike,Spring,7234,87226
94,Central Park S & 6 Ave,Electric Bike,Summer,9642,87226
95,Central Park S & 6 Ave,Electric Bike,Winter,3912,87226
96,Cleveland Pl & Spring St,Classic Bike,Fall,14159,91501
97,Cleveland Pl & Spring St,Classic Bike,Spring,14287,91501
98,Cleveland Pl & Spring St,Classic Bike,Summer,21689,91501
99,Cleveland Pl & Spring St,Classic Bike,Winter,6104,91501
100,Cleveland Pl & Spring St,Electric Bike,Fall,10548,91501
101,Cleveland Pl & Spring St,Electric Bike,Spring,7633,91501
102,Cleveland Pl & Spring St,Electric Bike,Summer,11025,91501
103,Cleveland Pl & Spring St,Electric Bike,Winter,6056,91501
104,E 33 St & 1 Ave,Classic Bike,Fall,15614,90671
105,E 33 St & 1 Ave,Classic Bike,Spring,14065,90671
106,E 33 St & 1 Ave,Classic Bike,Summer,19362,90671
107,E 33 St & 1 Ave,Classic Bike,Winter,7257,90671
108,E 33 St & 1 Ave,Electric Bike,Fall,10446,90671
109,E 33 St & 1 Ave,Electric Bike,Spring,7748,90671
110,E 33 St & 1 Ave,Electric Bike,Summer,9376,90671
111,E 33 St & 1 Ave,Electric Bike,Winter,6803,90671
112,Lafayette St & E 8 St,Classic Bike,Fall,18327,87957
113,Lafayette St & E 8 St,Classic Bike,Spring,14784,87957
114,Lafayette St & E 8 St,Classic Bike,Summer,24590,87957
115,Lafayette St & E 8 St,Classic Bike,Winter,6023,87957
116,Lafayette St & E 8 St,Electric Bike,Fall,7556,87957
117,Lafayette St & E 8 St,Electric Bike,Spring,5321,87957
118,Lafayette St & E 8 St,Electric Bike,Summer,7440,87957
119,Lafayette St & E 8 St,Electric Bike,Winter,3916,87957
120,University Pl & E 14 St,Classic Bike,Fall,19245,99178
121,University Pl & E 14 St,Classic Bike,Spring,16700,99178
122,University Pl & E 14 St,Classic Bike,Summer,21256,99178
123,University Pl & E 14 St,Classic Bike,Winter,8149,99178
124,University Pl & E 14 St,Electric Bike,Fall,10997,99178
125,University Pl & E 14 St,Electric Bike,Spring,7619,99178
126,University Pl & E 14 St,Electric Bike,Summer,8721,99178
127,University Pl & E 14 St,Electric Bike,Winter,6491,99178
128,W 21 St & 6 Ave,Classic Bike,Fall,26561,130178
129,W 21 St & 6 Ave,Classic Bike,Spring,21762,130178
130,W 21 St & 6 Ave,Classic Bike,Summer,30683,130178
131,W 21 St & 6 Ave,Classic Bike,Winter,12039,130178
132,W 21 St & 6 Ave,Electric Bike,Fall,12681,130178
133,W 21 St & 6 Ave,Electric Bike,Spring,8104,130178
134,W 21 St & 6 Ave,Electric Bike,Summer,10787,130178
135,W 21 St & 6 Ave,Electric Bike,Winter,7561,130178
136,W 31 St & 7 Ave,Classic Bike,Fall,16117,94110
137,W 31 St & 7 Ave,Classic Bike,Spring,14594,94110
138,W 31 St & 7 Ave,Classic Bike,Summer,19831,94110
139,W 31 St & 7 Ave,Classic Bike,Winter,6590,94110
140,W 31 St & 7 Ave,Electric Bike,Fall,11547,94110
141,W 31 St & 7 Ave,Electric Bike,Spring,8516,94110
142,W 31 St & 7 Ave,Electric Bike,Summer,10545,94110
143,W 31 St & 7 Ave,Electric Bike,Winter,6370,94110
144,West St & Chambers St,Classic Bike,Fall,25319,124336
145,West St & Chambers St,Classic Bike,Spring,23665,124336
146,West St & Chambers St,Classic Bike,Summer,37704,124336
147,West St & Chambers St,Classic Bike,Winter,6342,124336
148,West St & Chambers St,Electric Bike,Fall,9447,124336
149,West St & Chambers St,Electric Bike,Spring,7282,124336
150,West St & Chambers St,Electric Bike,Summer,10449,124336
151,West St & Chambers St,Electric Bike,Winter,4128,124336
152,West St & Liberty St,Classic Bike,Fall,17351,87707
153,West St & Liberty St,Classic Bike,Spring,15851,87707
154,West St & Liberty St,Classic Bike,Summer,25588,87707
155,West St & Liberty St,Classic Bike,Winter,4924,87707
156,West St & Liberty St,Electric Bike,Fall,7252,87707
157,West St & Liberty St,Electric Bike,Spring,5637,87707
158,West St & Liberty St,Electric Bike,Summer,7951,87707
159,West St & Liberty St,Electric Bike,Winter,3153,87707
