,start_station_name,rideable_type,season,Total,Grand Total
90,Cleveland Pl & Spring St,Classic Bike,Summer,21700,90973
91,Cleveland Pl & Spring St,Classic Bike,Winter,6030,90973
92,Cleveland Pl & Spring St,Electric Bike,Fall,10429,90973
93,Cleveland Pl & Spring St,Electric Bike,Spring,7584,90973
94,Cleveland Pl & Spring St,Electric Bike,Summer,11045,90973
95,Cleveland Pl & Spring St,Electric Bike,Winter,6030,90973
96,E 33 St & 1 Ave,Classic Bike,Fall,15783,91003
97,E 33 St & 1 Ave,Classic Bike,Spring,14262,91003
98,E 33 St & 1 Ave,Classic Bike,Summer,19406,91003
99,E 33 St & 1 Ave,Classic Bike,Winter,7300,91003
100,E 33 St & 1 Ave,Electric Bike,Fall,10397,91003
101,E 33 St & 1 Ave,Electric Bike,Spring,7712,91003
102,E 33 St & 1 Ave,Electric Bike,Summer,9382,91003
103,E 33 St & 1 Ave,Electric Bike,Winter,6761,91003
104,E 40 St & Park Ave,Classic Bike,Fall,14122,85598
105,E 40 St & Park Ave,Classic Bike,Spring,13233,85598
106,E 40 St & Park Ave,Classic Bike,Summer,17369,85598
107,E 40 St & Park Ave,Classic Bike,Winter,5932,85598
108,E 40 St & Park Ave,Electric Bike,Fall,11130,85598
109,E 40 St & Park Ave,Electric Bike,Spring,7700,85598
110,E 40 St & Park Ave,Electric Bike,Summer,10020,85598
111,E 40 St & Park Ave,Electric Bike,Winter,6092,85598
112,Lafayette St & E 8 St,Classic Bike,Fall,18313,87457
113,Lafayette St & E 8 St,Classic Bike,Spring,14712,87457
114,Lafayette St & E 8 St,Classic Bike,Summer,24515,87457
115,Lafayette St & E 8 St,Classic Bike,Winter,5872,87457
116,Lafayette St & E 8 St,Electric Bike,Fall,7522,87457
117,Lafayette St & E 8 St,Electric Bike,Spring,5260,87457
118,Lafayette St & E 8 St,Electric Bike,Summer,7384,87457
119,Lafayette St & E 8 St,Electric Bike,Winter,3879,87457
120,University Pl & E 14 St,Classic Bike,Fall,18968,97120
121,University Pl & E 14 St,Classic Bike,Spring,15711,97120
122,University Pl & E 14 St,Classic Bike,Summer,20978,97120
123,University Pl & E 14 St,Classic Bike,Winter,8080,97120
124,University Pl & E 14 St,Electric Bike,Fall,10960,97120
125,University Pl & E 14 St,Electric Bike,Spring,7306,97120
126,University Pl & E 14 St,Electric Bike,Summer,8673,97120
127,University Pl & E 14 St,Electric Bike,Winter,6444,97120
128,W 21 St & 6 Ave,Classic Bike,Fall,26530,129016
129,W 21 St & 6 Ave,Classic Bike,Spring,21634,129016
130,W 21 St & 6 Ave,Classic Bike,Summer,30142,129016
131,W 21 St & 6 Ave,Classic Bike,Winter,12019,129016
132,W 21 St & 6 Ave,Electric Bike,Fall,12644,129016
133,W 21 St & 6 Ave,Electric Bike,Spring,8013,129016
134,W 21 St & 6 Ave,Electric Bike,Summer,10537,129016
135,W 21 St & 6 Ave,Electric Bike,Winter,7497,129016
136,W 31 St & 7 Ave,Classic Bike,Fall,16148,94208
137,W 31 St & 7 Ave,Classic Bike,Spring,14700,94208
138,W 31 St & 7 Ave,Classic Bike,Summer,19864,94208
139,W 31 St & 7 Ave,Classic Bike,Winter,6615,94208
140,W 31 St & 7 Ave,Electric Bike,Fall,11513,94208
141,W 31 St & 7 Ave,Electric Bike,Spring,8511,94208
142,W 31 St & 7 Ave,Electric Bike,Summer,10525,94208
143,W 31 St & 7 Ave,Electric Bike,Winter,6332,94208
